constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
telesat,1015,isls,357,354,Bogota,Los-Angeles,21.16 ms,21.17 ms,42.19 ms,42.33 ms,42.74 ms,0.14 ms,199958/200000 (100%)
telesat,1015,isls,351,355,Madrid,New-York,21.77 ms,21.77 ms,43.40 ms,43.54 ms,44.13 ms,0.18 ms,199957/200000 (100%)
telesat,1015,isls,353,357,Riyadh,Bogota,53.59 ms,53.59 ms,105.47 ms,107.18 ms,110.13 ms,1.75 ms,199895/200000 (100%)
starlink,550,isls,1591,1590,Cairo,Bogota,68.55 ms,68.55 ms,131.93 ms,137.09 ms,145.54 ms,6.00 ms,199855/200000 (100%)
kuiper,630,isls,1161,1157,Mexico-City,Barcelona,38.28 ms,38.28 ms,74.75 ms,76.56 ms,80.51 ms,1.99 ms,199926/200000 (100%)
telesat,1015,isls,358,353,Cairo,Riyadh,10.44 ms,10.44 ms,18.54 ms,20.88 ms,23.15 ms,1.26 ms,199982/200000 (100%)
telesat,1015,isls,355,351,New-York,Madrid,21.77 ms,21.77 ms,43.40 ms,43.54 ms,44.13 ms,0.18 ms,199957/200000 (100%)
starlink,550,isls,1589,1587,Mexico-City,Los-Angeles,11.10 ms,11.10 ms,20.50 ms,22.21 ms,28.29 ms,1.02 ms,199980/200000 (100%)
starlink,550,isls,1593,1584,Sidney,Madrid,68.03 ms,68.03 ms,131.19 ms,136.06 ms,146.31 ms,4.02 ms,199868/200000 (100%)
telesat,1015,isls,355,358,New-York,Cairo,32.57 ms,32.57 ms,65.06 ms,65.13 ms,65.48 ms,0.11 ms,199935/200000 (100%)
kuiper,630,isls,1164,1156,Tokyo,Madrid,43.61 ms,43.61 ms,85.44 ms,87.22 ms,92.22 ms,2.19 ms,199915/200000 (100%)
starlink,550,isls,1592,1593,Tokyo,Sidney,59.66 ms,59.66 ms,99.73 ms,119.33 ms,129.22 ms,10.67 ms,199900/200000 (100%)
kuiper,630,isls,1160,1164,New-York,Tokyo,44.15 ms,44.15 ms,86.69 ms,88.30 ms,91.52 ms,1.85 ms,199913/200000 (100%)
telesat,1015,isls,357,356,Bogota,Mexico-City,13.93 ms,13.93 ms,26.58 ms,27.86 ms,29.03 ms,0.88 ms,199972/200000 (100%)
telesat,1015,isls,357,351,Bogota,Madrid,29.13 ms,29.13 ms,58.21 ms,58.26 ms,58.40 ms,0.04 ms,199942/200000 (100%)
starlink,550,isls,1591,1584,Cairo,Madrid,16.17 ms,16.17 ms,27.11 ms,32.34 ms,36.65 ms,2.17 ms,199966/200000 (100%)
starlink,550,isls,1588,1593,New-York,Sidney,71.84 ms,71.84 ms,135.51 ms,143.67 ms,153.44 ms,6.43 ms,199854/200000 (100%)
