origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink
Bogota,Los-Angeles,isls,telesat,1015,357,354,21.16 ms,21.17 ms,42.19 ms,42.33 ms,42.74 ms,0.14 ms,199958/200000 (100%),kuiper,630,1162,1159,23.97 ms,23.97 ms,46.68 ms,47.94 ms,50.55 ms,0.67 ms,199953/200000 (100%),starlink,550,1590,1587,24.89 ms,24.89 ms,45.35 ms,49.78 ms,61.10 ms,5.51 ms,199941/200000 (100%)
Madrid,New-York,isls,telesat,1015,351,355,21.77 ms,21.77 ms,43.40 ms,43.54 ms,44.13 ms,0.18 ms,199957/200000 (100%),kuiper,630,1156,1160,24.19 ms,24.19 ms,47.60 ms,48.38 ms,50.44 ms,0.34 ms,199952/200000 (100%),starlink,550,1584,1588,25.68 ms,25.68 ms,49.31 ms,51.36 ms,60.25 ms,0.67 ms,199949/200000 (100%)
Riyadh,Bogota,isls,telesat,1015,353,357,53.59 ms,53.59 ms,105.47 ms,107.18 ms,110.13 ms,1.75 ms,199895/200000 (100%),kuiper,630,1158,1162,53.86 ms,53.86 ms,105.47 ms,107.73 ms,110.05 ms,0.93 ms,199893/200000 (100%),starlink,550,1586,1590,71.64 ms,71.64 ms,142.05 ms,143.29 ms,154.07 ms,2.76 ms,199846/200000 (100%)
Cairo,Riyadh,isls,telesat,1015,358,353,10.44 ms,10.44 ms,18.54 ms,20.88 ms,23.15 ms,1.26 ms,199982/200000 (100%),kuiper,630,1163,1158,7.98 ms,7.98 ms,14.22 ms,15.96 ms,20.00 ms,2.21 ms,199986/200000 (100%),starlink,550,1591,1586,8.70 ms,8.70 ms,13.44 ms,17.39 ms,22.80 ms,2.29 ms,199983/200000 (100%)
New-York,Madrid,isls,telesat,1015,355,351,21.77 ms,21.77 ms,43.40 ms,43.54 ms,44.13 ms,0.18 ms,199957/200000 (100%),kuiper,630,1160,1156,24.19 ms,24.19 ms,47.60 ms,48.38 ms,50.32 ms,0.34 ms,199952/200000 (100%),starlink,550,1588,1584,25.68 ms,25.68 ms,49.31 ms,51.36 ms,59.33 ms,0.67 ms,199949/200000 (100%)
New-York,Cairo,isls,telesat,1015,355,358,32.57 ms,32.57 ms,65.06 ms,65.13 ms,65.48 ms,0.11 ms,199935/200000 (100%),kuiper,630,1160,1163,35.63 ms,35.63 ms,68.12 ms,71.26 ms,73.03 ms,0.98 ms,199929/200000 (100%),starlink,550,1588,1591,35.26 ms,35.26 ms,66.76 ms,70.53 ms,82.16 ms,2.25 ms,199932/200000 (100%)
Bogota,Mexico-City,isls,telesat,1015,357,356,13.93 ms,13.93 ms,26.58 ms,27.86 ms,29.03 ms,0.88 ms,199972/200000 (100%),kuiper,630,1162,1161,15.11 ms,15.11 ms,29.54 ms,30.22 ms,36.84 ms,1.19 ms,199971/200000 (100%),starlink,550,1590,1589,16.23 ms,16.23 ms,30.92 ms,32.46 ms,35.38 ms,1.35 ms,199965/200000 (100%)
Bogota,Madrid,isls,telesat,1015,357,351,29.13 ms,29.13 ms,58.21 ms,58.26 ms,58.40 ms,0.04 ms,199942/200000 (100%),kuiper,630,1162,1156,32.74 ms,32.75 ms,63.40 ms,65.49 ms,68.12 ms,1.43 ms,199935/200000 (100%),starlink,550,1590,1584,38.90 ms,38.90 ms,73.09 ms,77.80 ms,86.37 ms,5.61 ms,199922/200000 (100%)
Los-Angeles,Mexico-City,isls,telesat,1015,354,356,11.74 ms,11.74 ms,22.79 ms,23.49 ms,24.27 ms,0.42 ms,199977/200000 (100%),kuiper,630,1159,1161,11.89 ms,11.89 ms,22.11 ms,23.77 ms,27.61 ms,2.20 ms,199978/200000 (100%),starlink,550,1587,1589,11.10 ms,11.10 ms,20.50 ms,22.21 ms,28.26 ms,1.02 ms,199980/200000 (100%)
Barcelona,Tokyo,isls,telesat,1015,352,359,37.33 ms,37.32 ms,74.27 ms,74.65 ms,82.74 ms,0.29 ms,199926/200000 (100%),kuiper,630,1157,1164,41.79 ms,41.79 ms,80.95 ms,83.57 ms,85.87 ms,1.02 ms,199916/200000 (100%),starlink,550,1585,1592,47.12 ms,47.12 ms,88.50 ms,94.24 ms,98.32 ms,3.41 ms,199902/200000 (100%)
