origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink,country_source,country_destination,min_of,avg_of,max_of,mdev_of,Distance_of,Expected_Latency_of
Cairo,Beirut,isls,telesat,1015,351,355,8.64 ms,8.64 ms,16.12 ms,17.29 ms,20.53 ms,1.27 ms,199980/200000 (100%),kuiper,630.0,1156.0,1160.0,4.98 ms,4.98 ms,9.42 ms,9.96 ms,11.04 ms,0.41 ms,199990/200000 (100%),starlink,550,1584,1588,4.25 ms,4.25 ms,7.95 ms,8.49 ms,9.30 ms,0.40 ms,199992/200000 (100%),Egypt,Lebanon,"89,2443333333333","93,0144166666667","107,248458333333","4,22204166666667","584,506448580908","5,84506448580908"
Jerusalem,Izmir,isls,telesat,1015,353,357,8.76 ms,8.76 ms,16.64 ms,17.52 ms,19.83 ms,0.91 ms,199983/200000 (100%),kuiper,630.0,1158.0,1162.0,5.87 ms,5.87 ms,11.27 ms,11.73 ms,12.66 ms,0.36 ms,199989/200000 (100%),starlink,550,1586,1590,5.18 ms,5.18 ms,9.98 ms,10.35 ms,10.94 ms,0.24 ms,199990/200000 (100%),Israel,Turkey,"99,41475","108,802458333333","135,481041666667","10,3615833333333","1041,64955343553","10,4164955343553"
Beirut,Athens,isls,telesat,1015,355,358,8.81 ms,8.81 ms,16.44 ms,17.63 ms,20.03 ms,1.21 ms,199983/200000 (100%),kuiper,630.0,1160.0,1163.0,6.05 ms,6.05 ms,11.67 ms,12.09 ms,12.85 ms,0.33 ms,199989/200000 (100%),starlink,550,1588,1591,5.45 ms,5.45 ms,10.59 ms,10.90 ms,13.16 ms,0.55 ms,199990/200000 (100%),Lebanon,Greece,"106,131041666667","109,104166666667","118,886416666667","2,903125","1150,20081113703","11,5020081113703"
Limassol,Ankara,isls,telesat,1015,354,356,8.72 ms,8.72 ms,16.79 ms,17.45 ms,18.83 ms,0.59 ms,199983/200000 (100%),kuiper,630.0,1159.0,1161.0,4.87 ms,4.87 ms,9.37 ms,9.73 ms,10.44 ms,0.30 ms,199991/200000 (100%),starlink,550,1587,1589,4.51 ms,4.51 ms,8.24 ms,9.02 ms,10.01 ms,0.52 ms,199992/200000 (100%),Cyprus,Turkey,"99,1250434782609","100,275260869565","107,073869565217","1,77073913043478","585,804220355034","5,85804220355034"
TelAviv,Tunis,isls,telesat,1015,352,359,11.42 ms,11.42 ms,22.14 ms,22.85 ms,24.80 ms,0.71 ms,199977/200000 (100%),kuiper,630.0,1157.0,1164.0,11.42 ms,11.42 ms,20.96 ms,22.84 ms,25.35 ms,0.88 ms,199978/200000 (100%),starlink,550,1585,1592,11.70 ms,11.70 ms,20.78 ms,23.40 ms,33.30 ms,4.09 ms,199968/200000 (100%),Israel,Tunisia,"92,862875","92,9725833333333","93,339125","0,274875","2366,54725293521","23,6654725293521"
Izmir,Athens,isls,telesat,1015,357,358,7.50 ms,7.50 ms,13.77 ms,14.99 ms,16.34 ms,0.73 ms,199987/200000 (100%),kuiper,630.0,1162.0,1163.0,4.78 ms,4.78 ms,8.96 ms,9.55 ms,10.75 ms,0.46 ms,199991/200000 (100%),starlink,550,1590,1591,4.00 ms,4.00 ms,7.17 ms,8.00 ms,9.26 ms,0.60 ms,199992/200000 (100%),Turkey,Greece,"30,8436666666667","40,3525833333333","68,200125","11,252375","303,666350499431","3,03666350499431"
Athens,Tunis,isls,telesat,1015,358,359,9.02 ms,9.02 ms,17.29 ms,18.04 ms,19.81 ms,0.68 ms,199981/200000 (100%),kuiper,630.0,1163.0,1164.0,6.67 ms,6.67 ms,13.00 ms,13.35 ms,15.39 ms,0.45 ms,199987/200000 (100%),starlink,550,1591,1592,6.56 ms,6.56 ms,11.85 ms,13.11 ms,19.71 ms,1.68 ms,199984/200000 (100%),Greece,Tunisia,"65,283875","65,43225","66,1020416666667","0,290166666666667","1353,20950766864","13,5320950766864"
Cairo,Jerusalem,isls,telesat,1015,351,353,8.60 ms,8.60 ms,15.21 ms,17.20 ms,20.78 ms,1.67 ms,199980/200000 (100%),kuiper,630.0,1156.0,1158.0,4.69 ms,4.69 ms,8.93 ms,9.38 ms,10.03 ms,0.30 ms,199991/200000 (100%),starlink,550,1584,1586,3.99 ms,3.99 ms,7.44 ms,7.98 ms,8.82 ms,0.36 ms,199992/200000 (100%),Egypt,Israel,"108,06","109,252208333333","117,607708333333","1,98595833333333","425,321846477469","4,25321846477469"
Jerusalem,Limassol,isls,telesat,1015,353,354,8.75 ms,8.75 ms,16.69 ms,17.50 ms,19.79 ms,0.81 ms,199981/200000 (100%),kuiper,630.0,1158.0,1159.0,5.00 ms,5.00 ms,8.96 ms,9.99 ms,11.95 ms,0.92 ms,199991/200000 (100%),starlink,550,1586,1587,4.03 ms,4.03 ms,7.32 ms,8.06 ms,8.98 ms,0.47 ms,199993/200000 (100%),Israel,Cyprus,"107,186458333333","108,264041666667","114,038375","1,58195833333333","380,773696772313","3,80773696772314"
Jerusalem,Tunis,isls,telesat,1015,353,359,11.54 ms,11.54 ms,22.43 ms,23.07 ms,24.86 ms,0.64 ms,199977/200000 (100%),kuiper,630.0,1158.0,1164.0,11.64 ms,11.64 ms,21.29 ms,23.28 ms,25.63 ms,0.86 ms,199978/200000 (100%),starlink,550,1586,1592,11.82 ms,11.82 ms,20.97 ms,23.64 ms,33.55 ms,4.09 ms,199968/200000 (100%),Israel,Tunisia,"100,486791666667","100,599583333333","101,034458333333","0,29025","2404,40497764458","24,0440497764458"
Beirut,Ankara,isls,telesat,1015,355,356,9.06 ms,9.06 ms,16.88 ms,18.11 ms,19.30 ms,0.52 ms,199983/200000 (100%),kuiper,630.0,1160.0,1161.0,5.09 ms,5.09 ms,9.83 ms,10.19 ms,10.70 ms,0.23 ms,199990/200000 (100%),starlink,550,1588,1589,4.64 ms,4.64 ms,8.46 ms,9.27 ms,10.20 ms,0.37 ms,199991/200000 (100%),Lebanon,Turkey,"106,42347826087","109,817304347826","124,083347826087","3,92669565217391","710,762198880667","7,10762198880667"
Ankara,Tunis,isls,telesat,1015,356,359,10.66 ms,10.66 ms,20.91 ms,21.31 ms,22.03 ms,0.31 ms,199979/200000 (100%),kuiper,630.0,1161.0,1164.0,10.35 ms,10.35 ms,18.94 ms,20.70 ms,24.06 ms,1.20 ms,199980/200000 (100%),starlink,550,1589,1592,10.41 ms,10.41 ms,19.37 ms,20.82 ms,27.81 ms,1.09 ms,199981/200000 (100%),Turkey,Tunisia,"92,30225","92,5130833333333","92,9875","0,320333333333333","2172,98163744594","21,7298163744594"
Izmir,Tunis,isls,telesat,1015,357,359,9.51 ms,9.51 ms,18.36 ms,19.02 ms,20.02 ms,0.56 ms,199981/200000 (100%),kuiper,630.0,1162.0,1164.0,7.81 ms,7.81 ms,14.62 ms,15.62 ms,17.79 ms,0.72 ms,199984/200000 (100%),starlink,550,1590,1592,8.01 ms,8.01 ms,13.62 ms,16.02 ms,22.66 ms,1.82 ms,199983/200000 (100%),Turkey,Tunisia,"52,61925","61,3519166666667","89,4660833333333","10,849625","1656,07425484361","16,5607425484361"
