constellation,origin,destination,origin_name,destination_name,satellites,satellites_distance
telesat,351,358,Cairo,Athens,1.0,2798.674125
telesat,351,359,Cairo,Tunis,1.0,3368.36175
telesat,352,355,TelAviv,Beirut,1.0,2712.3109583333335
telesat,355,357,Beirut,Izmir,1.0,2923.778625
telesat,352,354,TelAviv,Limassol,1.0,2616.4821875
telesat,351,353,Cairo,Jerusalem,1.0,2718.7964375
telesat,351,352,Cairo,TelAviv,1.0,2327.4404375000004
telesat,353,356,Jerusalem,Ankara,1.0,2830.7743333333333
telesat,354,357,Limassol,Izmir,1.0,2865.9970624999996
telesat,353,355,Jerusalem,Beirut,1.0,2706.4137916666664
telesat,355,358,Beirut,Athens,1.0,2970.9263124999998
telesat,356,357,Ankara,Izmir,1.0,2730.724125
telesat,356,358,Ankara,Athens,1.0,2675.4819375
telesat,353,357,Jerusalem,Izmir,1.0,2949.2191875
telesat,353,354,Jerusalem,Limassol,1.0,2618.3525625
telesat,357,358,Izmir,Athens,1.0,2372.08325
telesat,351,357,Cairo,Izmir,1.0,2771.27525
telesat,355,359,Beirut,Tunis,1.0,3507.2955625
telesat,352,356,TelAviv,Ankara,1.0,2806.141125
telesat,351,356,Cairo,Ankara,1.0,2898.782
telesat,356,359,Ankara,Tunis,1.0,3264.0681875
telesat,351,355,Cairo,Beirut,1.0,2459.6713124999997
telesat,354,355,Limassol,Beirut,1.0,2749.486625
telesat,352,353,TelAviv,Jerusalem,1.0,2632.4659166666665
telesat,353,358,Jerusalem,Athens,1.0,3012.973125
telesat,352,359,TelAviv,Tunis,1.0,3636.8953125
telesat,353,359,Jerusalem,Tunis,1.0,3565.510875
telesat,354,358,Limassol,Athens,1.0,2756.9219375000002
telesat,358,359,Athens,Tunis,1.0,2861.82975
telesat,352,358,TelAviv,Athens,1.0,3013.8525625
telesat,354,356,Limassol,Ankara,1.0,2650.195875
telesat,351,354,Cairo,Limassol,1.0,2445.1080625
telesat,355,356,Beirut,Ankara,1.0,2715.005125
telesat,357,359,Izmir,Tunis,1.0,2977.06590625
telesat,354,359,Limassol,Tunis,1.0,3329.44
telesat,352,357,TelAviv,Izmir,1.0,2949.6335625
starlink,1584,1590,Cairo,Izmir,1.0,1563.93145
starlink,1590,1591,Izmir,Athens,1.0,1229.6753229166666
starlink,1584,1592,Cairo,Tunis,2.0,3267.279074492201
starlink,1585,1588,TelAviv,Beirut,1.0,1235.256203125
starlink,1589,1591,Ankara,Athens,1.0,1411.971225
starlink,1585,1592,TelAviv,Tunis,3.0,4108.2813431591285
starlink,1584,1591,Cairo,Athens,1.0,1623.131234375
starlink,1587,1591,Limassol,Athens,1.0,1474.9765000000002
