origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink,country_source,country_destination,min_of,avg_of,max_of,mdev_of,Distance_of,Expected_Latency_of,satellites_telesat,satellites_distance_telesat,satellites_kuiper,satellites_distance_kuiper,satellites_starlink,satellites_distance_starlink
New-York,Cairo,isls,telesat,1015,355,358,32.57 ms,32.57 ms,65.06 ms,65.13 ms,65.48 ms,0.11 ms,199935/200000 (100%),kuiper,630,1160,1163,35.63 ms,35.63 ms,68.12 ms,71.26 ms,73.03 ms,0.98 ms,199929/200000 (100%),starlink,550,1588,1591,35.26 ms,35.26 ms,66.76 ms,70.53 ms,82.16 ms,2.25 ms,199932/200000 (100%),United States,Egypt,"125,681916666667","126,558875","132,32375","1,3655","8994,15830739007","89,9415830739006",1,"9786,3225","7,66666666666667","10594,2868494068","5,88888888888889","10500,513960767"
Madrid,New-York,isls,telesat,1015,351,355,21.77 ms,21.77 ms,43.40 ms,43.54 ms,44.13 ms,0.18 ms,199957/200000 (100%),kuiper,630,1156,1160,24.19 ms,24.19 ms,47.60 ms,48.38 ms,50.44 ms,0.34 ms,199952/200000 (100%),starlink,550,1584,1588,25.68 ms,25.68 ms,49.31 ms,51.36 ms,60.25 ms,0.67 ms,199949/200000 (100%),Spain,United States,"95,3402916666667",95457,"96,0549166666667","0,377875","5742,34096750353","57,4234096750353",1,"6579,5935","5,45454545454545","7257,03427953169",4,"7643,152107242"
Mexico-City,Tokyo,isls,telesat,1015,356,359,42.88 ms,42.88 ms,85.41 ms,85.76 ms,86.57 ms,0.35 ms,199915/200000 (100%),kuiper,630,1161,1164,44.30 ms,44.30 ms,85.34 ms,88.60 ms,90.64 ms,1.42 ms,199915/200000 (100%),starlink,550,1589,1592,43.77 ms,43.77 ms,83.75 ms,87.54 ms,94.51 ms,1.15 ms,199911/200000 (100%),Mexico,Japan,"164,034833333333","164,82375","171,995333333333","1,72970833333333","11300,6889783313","113,006889783313",2,"12976,6650948186","9,5","13163,6657440872",7,"13057,5226618691"
Barcelona,Mexico-City,isls,telesat,1015,352,356,34.21 ms,34.21 ms,68.09 ms,68.43 ms,75.55 ms,0.26 ms,199932/200000 (100%),kuiper,630,1157,1161,38.28 ms,38.28 ms,74.75 ms,76.56 ms,80.80 ms,2.00 ms,199926/200000 (100%),starlink,550,1585,1589,38.66 ms,38.66 ms,75.12 ms,77.31 ms,85.42 ms,0.95 ms,199924/200000 (100%),Spain,Mexico,"147,365875","148,286958333333","155,6565","1,77470833333333","9489,10284012858","94,8910284012857",1,"10279,36275","9,2","11521,553448204","6,16666666666667","11600,4855322785"
Riyadh,Cairo,isls,telesat,1015,353,358,10.44 ms,10.44 ms,18.54 ms,20.88 ms,23.15 ms,1.26 ms,199982/200000 (100%),kuiper,630,1158,1163,7.98 ms,7.98 ms,14.22 ms,15.96 ms,20.00 ms,2.21 ms,199986/200000 (100%),starlink,550,1586,1591,8.70 ms,8.70 ms,13.44 ms,17.39 ms,23.50 ms,2.29 ms,199983/200000 (100%),Saudi Arabia,Egypt,"117,3685","118,575708333333","126,997083333333","2,03954166666667","1642,66745026606","16,4266745026606",1,"3243,247625","1,4","2544,81571063727","1,66666666666667","2664,58960333965"
Madrid,Sidney,isls,telesat,1015,351,360,70.04 ms,70.03 ms,139.53 ms,140.07 ms,140.53 ms,0.29 ms,199860/200000 (100%),kuiper,630,1156,1165,68.39 ms,68.39 ms,134.43 ms,136.78 ms,140.04 ms,2.10 ms,199861/200000 (100%),starlink,550,1584,1593,68.03 ms,68.03 ms,131.19 ms,136.06 ms,141.94 ms,4.02 ms,199868/200000 (100%),Spain,Australia,"265,407166666667","265,529666666667","266,709625","0,609916666666667","17683,1933574916","176,831933574916",4,"20975,3647937515","16,1666666666667","20736,7705813392","10,625","20172,1316807172"
Bogota,Tokyo,isls,telesat,1015,357,359,56.06 ms,56.06 ms,111.12 ms,112.13 ms,112.62 ms,0.59 ms,199889/200000 (100%),kuiper,630,1162,1164,54.89 ms,54.89 ms,108.17 ms,109.78 ms,113.59 ms,2.10 ms,199892/200000 (100%),starlink,550,1590,1592,54.12 ms,54.12 ms,104.60 ms,108.25 ms,114.28 ms,2.37 ms,199891/200000 (100%),Colombia,Japan,"246,280625","246,496416666667","248,073166666667","0,645083333333333","14314,5406682973","143,145406682973","3,33333333333333","16802,9170048864","12,75","16461,8660564152","8,71428571428571","16170,5619381428"
Tokyo,Sidney,isls,telesat,1015,359,360,28.39 ms,28.39 ms,56.76 ms,56.79 ms,56.89 ms,0.03 ms,199944/200000 (100%),kuiper,630,1164,1165,47.30 ms,47.30 ms,89.82 ms,94.61 ms,97.46 ms,2.38 ms,199905/200000 (100%),starlink,550,1592,1593,59.66 ms,59.66 ms,99.73 ms,119.33 ms,129.22 ms,10.67 ms,199900/200000 (100%),Japan,Australia,"135,840708333333","135,971875","136,6475","0,389333333333333","7824,68211669197","78,2468211669197",1,"8512,42725","10,6","14011,4608366679","11,625","17228,104654084"
Mexico-City,Sidney,isls,telesat,1015,356,360,52.04 ms,52.05 ms,94.52 ms,104.09 ms,107.88 ms,4.43 ms,199893/200000 (100%),kuiper,630,1161,1165,53.15 ms,53.15 ms,105.09 ms,106.31 ms,110.14 ms,1.52 ms,199895/200000 (100%),starlink,550,1589,1593,68.47 ms,68.47 ms,130.62 ms,136.94 ms,145.36 ms,4.71 ms,199859/200000 (100%),Mexico,Australia,"194,286708333333","196,038125","202,211875","2,07358333333333","12972,9345835043","129,729345835043","2,66666666666667","15441,0105609665","12,2","15959,2978375263",15,"20742,8762530088"
Barcelona,Cairo,isls,telesat,1015,352,358,12.68 ms,12.68 ms,24.87 ms,25.36 ms,26.20 ms,0.41 ms,199974/200000 (100%),kuiper,630,1157,1163,13.28 ms,13.28 ms,23.98 ms,26.57 ms,29.79 ms,1.69 ms,199973/200000 (100%),starlink,550,1585,1591,12.88 ms,12.88 ms,22.36 ms,25.75 ms,33.36 ms,2.27 ms,199978/200000 (100%),Spain,Egypt,"57,2465416666667","58,2948333333333","65,9637083333333","1,71354166666667","2891,19932864187","28,9119932864187",1,"3866,87383333333","2,5","3940,57470561462","2,25","3966,677038466"
New-York,Bogota,isls,telesat,1015,355,357,16.01 ms,16.01 ms,31.82 ms,32.03 ms,32.61 ms,0.23 ms,199968/200000 (100%),kuiper,630,1160,1162,27.72 ms,27.72 ms,47.18 ms,55.44 ms,59.10 ms,1.18 ms,199953/200000 (100%),starlink,550,1588,1590,33.15 ms,33.15 ms,65.22 ms,66.30 ms,68.90 ms,0.96 ms,199935/200000 (100%),United States,Colombia,"95,9565833333333",96136,97837,"0,522625","4017,56497757529","40,1756497757529",1,"4777,13825","5,75","8015,72086883887","7,33333333333333","10002,112499371"
New-York,Sidney,isls,telesat,1015,355,360,67.31 ms,67.31 ms,130.89 ms,134.62 ms,139.20 ms,2.32 ms,199868/200000 (100%),kuiper,630,1160,1165,62.85 ms,62.84 ms,124.14 ms,125.69 ms,129.09 ms,1.14 ms,199875/200000 (100%),starlink,550,1588,1593,71.84 ms,71.84 ms,135.51 ms,143.67 ms,153.44 ms,6.43 ms,199854/200000 (100%),United States,Australia,"240,499583333333","240,637791666667","241,404541666667","0,533333333333333","16018,8562252764","160,188562252764",4,"20154,6735991663","14,6666666666667","18960,6472184024",13,"21732,483707941"
Barcelona,Los-Angeles,isls,telesat,1015,352,354,34.65 ms,34.65 ms,69.19 ms,69.30 ms,69.65 ms,0.11 ms,199931/200000 (100%),kuiper,630,1157,1159,38.19 ms,38.19 ms,74.63 ms,76.38 ms,80.04 ms,2.15 ms,199925/200000 (100%),starlink,550,1585,1587,36.97 ms,36.97 ms,72.74 ms,73.94 ms,80.41 ms,1.10 ms,199928/200000 (100%),Spain,United States,"167,666","167,888083333333","168,157125","0,4115","9653,68475087745","96,5368475087745",1,"10384,8328333333","9,125","11579,0890411524",6,"11101,9102105067"
Riyadh,Los-Angeles,isls,telesat,1015,353,354,48.87 ms,48.87 ms,96.75 ms,97.73 ms,99.16 ms,0.87 ms,199903/200000 (100%),kuiper,630,1158,1159,53.94 ms,53.94 ms,105.27 ms,107.88 ms,109.96 ms,1.58 ms,199892/200000 (100%),starlink,550,1586,1587,62.51 ms,62.51 ms,122.91 ms,125.02 ms,129.37 ms,2.25 ms,199876/200000 (100%),Saudi Arabia,United States,"218,286791666667","218,445083333333","218,820583333333","0,410958333333333","13298,864361197","132,98864361197","2,25","14684,2253688096","13,25","16085,3457065583","12,5","18989,4774107249"
Madrid,Tokyo,isls,telesat,1015,351,359,39.57 ms,39.57 ms,76.47 ms,79.14 ms,87.42 ms,2.05 ms,199919/200000 (100%),kuiper,630,1156,1164,43.61 ms,43.61 ms,85.44 ms,87.22 ms,90.74 ms,2.19 ms,199915/200000 (100%),starlink,550,1584,1592,51.44 ms,51.44 ms,98.92 ms,102.88 ms,110.09 ms,4.15 ms,199902/200000 (100%),Spain,Japan,"235,5915","235,722625","236,367833333333","0,502791666666667","10766,6139281765","107,666139281765","1,66666666666667","11916,9937535154","11,2857142857143","13317,4715664324",10,"15436,6399329666"
