origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink,country_source,country_destination,min_of,avg_of,max_of,mdev_of,Distance_of,Expected_Latency_of,satellites_telesat,satellites_distance_telesat,satellites_kuiper,satellites_distance_kuiper,satellites_starlink,satellites_distance_starlink
NY,Cai,isls,telesat,1015,355,358,32.57,32.57,65.06,65.13,65.48,0.11,199935/200000 (100%),kuiper,630,1160,1163,35.63,35.63,68.12,71.26,73.03,0.98,199929/200000 (100%),starlink,550,1588,1591,35.26,35.26,66.76,70.53,82.16,2.25,199932/200000 (100%),United States,Egypt,"125,681916666667","126,558875","132,32375","1,3655","8994,15830739007","89,9415830739006",1.0,9786.3225,7.666666666666667,10594.286849406775,5.888888888888889,10500.513960767006
Mad,NY,isls,telesat,1015,351,355,21.77,21.77,43.40,43.54,44.13,0.18,199957/200000 (100%),kuiper,630,1156,1160,24.19,24.19,47.60,48.38,50.44,0.34,199952/200000 (100%),starlink,550,1584,1588,25.68,25.68,49.31,51.36,60.25,0.67,199949/200000 (100%),Spain,United States,"95,3402916666667","95,457","96,0549166666667","0,377875","5742,34096750353","57,4234096750353",1.0,6579.5935,5.454545454545454,7257.034279531689,4.0,7643.152107242005
Mx,Tok,isls,telesat,1015,356,359,42.88,42.88,85.41,85.76,86.57,0.35,199915/200000 (100%),kuiper,630,1161,1164,44.30,44.30,85.34,88.60,90.64,1.42,199915/200000 (100%),starlink,550,1589,1592,43.77,43.77,83.75,87.54,94.51,1.15,199911/200000 (100%),Mexico,Japan,"164,034833333333","164,82375","171,995333333333","1,72970833333333","11300,6889783313","113,006889783313",2.0,12976.665094818569,9.5,13163.665744087164,7.0,13057.522661869138
Bar,Mx,isls,telesat,1015,352,356,34.21,34.21,68.09,68.43,75.55,0.26,199932/200000 (100%),kuiper,630,1157,1161,38.28,38.28,74.75,76.56,80.80,2.00,199926/200000 (100%),starlink,550,1585,1589,38.66,38.66,75.12,77.31,85.42,0.95,199924/200000 (100%),Spain,Mexico,"147,365875","148,286958333333","155,6565","1,77470833333333","9489,10284012858","94,8910284012857",1.0,10279.36275,9.2,11521.553448204002,6.166666666666667,11600.485532278546
Riy,Cai,isls,telesat,1015,353,358,10.44,10.44,18.54,20.88,23.15,1.26,199982/200000 (100%),kuiper,630,1158,1163,7.98,7.98,14.22,15.96,20.00,2.21,199986/200000 (100%),starlink,550,1586,1591,8.70,8.70,13.44,17.39,23.50,2.29,199983/200000 (100%),Saudi Arabia,Egypt,"117,3685","118,575708333333","126,997083333333","2,03954166666667","1642,66745026606","16,4266745026606",1.0,3243.247625,1.4,2544.815710637269,1.6666666666666667,2664.5896033396525
Mad,Syd,isls,telesat,1015,351,360,70.04,70.03,139.53,140.07,140.53,0.29,199860/200000 (100%),kuiper,630,1156,1165,68.39,68.39,134.43,136.78,140.04,2.10,199861/200000 (100%),starlink,550,1584,1593,68.03,68.03,131.19,136.06,141.94,4.02,199868/200000 (100%),Spain,Australia,"265,407166666667","265,529666666667","266,709625","0,609916666666667","17683,1933574916","176,831933574916",4.0,20975.36479375149,16.166666666666668,20736.7705813392,10.625,20172.13168071724
Bog,Tok,isls,telesat,1015,357,359,56.06,56.06,111.12,112.13,112.62,0.59,199889/200000 (100%),kuiper,630,1162,1164,54.89,54.89,108.17,109.78,113.59,2.10,199892/200000 (100%),starlink,550,1590,1592,54.12,54.12,104.60,108.25,114.28,2.37,199891/200000 (100%),Colombia,Japan,"246,280625","246,496416666667","248,073166666667","0,645083333333333","14314,5406682973","143,145406682973",3.333333333333333,16802.917004886374,12.75,16461.86605641521,8.714285714285714,16170.56193814278
Tok,Syd,isls,telesat,1015,359,360,28.39,28.39,56.76,56.79,56.89,0.03,199944/200000 (100%),kuiper,630,1164,1165,47.30,47.30,89.82,94.61,97.46,2.38,199905/200000 (100%),starlink,550,1592,1593,59.66,59.66,99.73,119.33,129.22,10.67,199900/200000 (100%),Japan,Australia,"135,840708333333","135,971875","136,6475","0,389333333333333","7824,68211669197","78,2468211669197",1.0,8512.42725,10.6,14011.46083666787,11.625,17228.104654084025
Mx,Syd,isls,telesat,1015,356,360,52.04,52.05,94.52,104.09,107.88,4.43,199893/200000 (100%),kuiper,630,1161,1165,53.15,53.15,105.09,106.31,110.14,1.52,199895/200000 (100%),starlink,550,1589,1593,68.47,68.47,130.62,136.94,145.36,4.71,199859/200000 (100%),Mexico,Australia,"194,286708333333","196,038125","202,211875","2,07358333333333","12972,9345835043","129,729345835043",2.6666666666666665,15441.010560966455,12.2,15959.29783752628,15.0,20742.87625300882
Bar,Cai,isls,telesat,1015,352,358,12.68,12.68,24.87,25.36,26.20,0.41,199974/200000 (100%),kuiper,630,1157,1163,13.28,13.28,23.98,26.57,29.79,1.69,199973/200000 (100%),starlink,550,1585,1591,12.88,12.88,22.36,25.75,33.36,2.27,199978/200000 (100%),Spain,Egypt,"57,2465416666667","58,2948333333333","65,9637083333333","1,71354166666667","2891,19932864187","28,9119932864187",1.0,3866.8738333333336,2.5,3940.574705614617,2.25,3966.677038465999
